Company,Symbol,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings,CIK
The Aaron's Company,AAN,Consumer Discretionary,Homefurnishing Retail,"Atlanta, Georgia",view,1821393
"AAON, Inc.",AAON,Industrials,Building Products,"Tulsa, Oklahoma",view,824142
American Assets Trust,AAT,Real Estate,Diversified REITs,"San Diego, California",view,1500217
Ameris Bancorp,ABCB,Financials,Regional Banks,"Atlanta, Georgia",view,351569
Asbury Automotive Group,ABG,Consumer Discretionary,Automotive Retail,"Duluth, Georgia",view,1144980
"ABM Industries, Inc.",ABM,Industrials,Environmental & Facilities Services,"New York City, New York",view,771497
Arbor Realty Trust,ABR,Financials,Mortgage REITs,"Uniondale, New York",view,1253986
"Arcosa, Inc.",ACA,Industrials,Industrial Machinery,"Dallas, Texas",view,1739445
"Axcelis Technologies, Inc.",ACLS,Information Technology,Semiconductor Equipment,"Beverly, Massachusetts",view,1113232
"Adeia, Inc.",ADEA,Information Technology,IT Consulting & Other Services,"San Jose, California",view,1803696
"Adtran, Inc.",ADTN,Information Technology,Communications Equipment,"Huntsville, Alabama",view,926282
Addus HomeCare Corp.,ADUS,Health Care,Health Care Services,"Frisco, Texas",view,1468328
Advanced Energy,AEIS,Information Technology,Semiconductor Equipment,"Denver, Colorado",view,927003
American Equity Investment Life Holding Co.,AEL,Financials,Life & Health Insurance,"Des Moines, Iowa",view,1039828
American Eagle Outfitters,AEO,Consumer Discretionary,Apparel Retail,"Pittsburgh, Pennsylvania",view,919012
Assured Guaranty Ltd.,AGO,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",view,1273813
"Agiliti, Inc.",AGTI,Health Care,Health Care Services,"Eden Prairie, Minnesota",view,1749704
"Agilysys, Inc.",AGYS,Information Technology,Application Software,"Alpharetta, Georgia",view,78749
AdaptHealth Corp.,AHCO,Health Care,Health Care Equipment,"Plymouth Meeting, Pennsylvania",view,1725255
"Armada Hoffler Properties, Inc.",AHH,Real Estate,Diversified REITs,"Virginia Beach, Virginia",view,1569187
Albany International Corp.,AIN,Industrials,Industrial Machinery,"Rochester, New Hampshire",view,819793
AAR CORP.,AIR,Industrials,Aerospace & Defense,"Wood Dale, Illinois",view,1750
Applied Industrial Technologies,AIT,Industrials,Trading Companies & Distributors,"Cleveland, Ohio",view,109563
Aerojet Rocketdyne Holdings,AJRD,Industrials,Aerospace & Defense,"El Segundo, California",view,40888
Acadia Realty Trust,AKR,Real Estate,Retail REITs,"Rye, New York",view,899629
Alexander & Baldwin,ALEX,Real Estate,Diversified REITs,"Honolulu, Hawaii",view,1545654
Alamo Group,ALG,Industrials,Construction Machinery & Heavy Trucks,"Seguin, Texas",view,897077
Allegiant Travel Company,ALGT,Industrials,Airlines,"Summerlin, Nevada",view,1362468
"Alarm.Com, Inc.",ALRM,Financials,Application Software,"Tysons, Virginia",view,1459200
Ambac Financial Group,AMBC,Financials,Property & Casualty Insurance,"New York City, New York",view,874501
AMC Networks,AMCX,Consumer Discretionary,Broadcasting,"New York City, New York",view,1514991
"Apollo Medical Holdings, Inc.",AMEH,Health Care,Health Care Facilities,"Alhambra, California",view,1083446
"Amn Healthcare Services, Inc.",AMN,Health Care,Health Care Services,"Dallas, Texas",view,1142750
"Amphstar Pharmaceuticals, Inc.",AMPH,Health Care,Pharmaceuticals,"Rancho Cucamonga, California",view,1297184
"Amerisafe, Inc.",AMSF,Financials,Property & Casualty Insurance,"DeRidder, Louisiana",view,1018979
American Woodmark Corp.,AMWD,Industrials,Building Products,"Winchester, Virginia",view,794619
"The Andersons, Inc.",ANDE,Consumer Staples,Food Distributors,"Maumee, Ohio",view,821026
Abercrombie & Fitch Company,ANF,Consumer Discretionary,Apparel Retail,"New Albany, Ohio",view,1018840
"Angiodynamics, Inc.",ANGO,Health Care,Health Care Equipment,"Latham, New York",view,1275187
Anika Therapeutics,ANIK,Health Care,Health Care Supplies,"Bedford, Massachusetts",view,898437
"ANI Pharmaceuticals, Inc.",ANIP,Health Care,Pharmaceuticals,"Baudette, Minnesota",view,1023024
Artivion,AORT,Health Care,Health Care Equipment,"Kennesaw, Georgia",view,784199
"Alpha and Omega Semiconductor, Ltd.",AOSL,Information Technology,Semiconductors,"Sunnyvale, California",view,1387467
"Artisan Partners Asset Management, Inc.",APAM,Financials,Asset Management & Custody Banks,"Milwaukee, Wisconsin",view,1517302
"Apogee Enterprises, Inc.",APOG,Industrials,Building Products,"Minneapolis, Minnesota",view,6845
Digital Turbine,APPS,Information Technology,Application Software,"Austin, Texas",view,317788
ArcBest Corp.,ARCB,Industrials,Trucking,"Fort Smith, Arkansas",view,894405
Apollo Commercial Real Estate Finance,ARI,Real Estate,Mortgage REITs,"New York City, New York",view,1467760
Arlo Technologies,ARLO,Information Technology,Communications Equipment,"San Jose, California",view,1736946
Arconic Corp.,ARNC,Materials,Aluminum,"Pittsburgh, Pennsylvania",view,1790982
"Archrock, Inc.",AROC,Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,1389050
Armour Residential REIT,ARR,Real Estate,Mortgage REITs,"Vero Beach, Florida",view,1428205
"Advansix, Inc.",ASIX,Materials,Commodity Chemicals,"Parsippany–Troy Hills, New Jersey",view,1673985
Academy Sports + Outdoors,ASO,Consumer Discretionary,Specialty Stores,"Harris County, Texas",view,1817358
"Astec Industries, Inc.",ASTE,Industrials,Construction Machinery & Heavy Trucks,"Chattanooga, Tennessee",view,792987
"A10 Networks, Inc.",ATEN,Information Technology,Systems Software,"San Jose, California",view,1580808
Adtalem Global Education,ATGE,Consumer Discretionary,Education Services,"Chicago, Illinois",view,730464
ATI Inc.,ATI,Materials,Steel,"Dallas, Texas",view,1018963
"ATN International, Inc.",ATNI,Communication Services,Integrated Telecommunication Services,"Beverly, Massachusetts",view,879585
"Atlantic Union Bankshares, Corp.",AUB,Financials,Regional Banks,"Richmond, Virginia",view,883948
Avista Corporation,AVA,Utilities,Multi-Utilities,"Spokane, Washington",view,104918
"AeroVironment, Inc.",AVAV,Industrials,Aerospace & Defense,"Arlington County, Virginia",view,1368622
American Vanguard Corporation,AVD,Materials,Fertilizers & Agricultural Chemicals,"Newport Beach, California",view,5981
"Avid Technology, Inc.",AVID,Information Technology,"Technology Hardware, Storage & Peripherals","Burlington, Massachusetts",view,896841
"Avanos Medical, Inc.",AVNS,Health Care,Health Care Supplies,"Alpharetta, Georgia",view,1606498
"Avantax, Inc.",AVTA,Financials,Asset Management & Custody Banks,"Coppell, Texas",view,1068875
American States Water Company,AWR,Utilities,Water Utilities,"San Dimas, California",view,1056903
"Axos Financial, Inc.",AX,Financials,Thrifts & Mortgage Finance,"Las Vegas, Nevada",view,1299709
"American Axle & Manufacturing, Inc.",AXL,Consumer Discretionary,Auto Parts & Equipment,"Detroit, Michigan",view,1062231
"AZZ, Inc.",AZZ,Industrials,Heavy Electrical Equipment,"Fort Worth, Texas",view,8947
"Barnes Group, Inc.",B,Industrials,Industrial Machinery,"Bristol, Connecticut",view,9984
"Banc Of California, Inc.",BANC,Financials,Regional Banks,"Santa Ana, California",view,1169770
Bancfirst Corp,BANF,Financials,Diversified Banks,"Oklahoma City, Oklahoma",view,760498
Banner Corporation,BANR,Financials,Regional Banks,"Walla Walla, Washington",view,946673
Boise Cascade,BCC,Industrials,Building Products,"Boise, Idaho",view,1328581
Balchem Corporation,BCPC,Materials,Specialty Chemicals,"Montvale, New Jersey",view,9326
Brandywine Realty Trust,BDN,Real Estate,Office REITs,"Philadelphia, Pennsylvania",view,790816
"Bread Financial Holdings, Inc.",BFH,Financials,Consumer Finance,"Columbus, Ohio",view,1101215
"Saul Centers, Inc.",BFS,Real Estate,Retail REITs,"Bethesda, Maryland",view,907254
B&G Foods,BGS,Consumer Staples,Packaged Foods & Meats,"Parsippany, New Jersey",view,1278027
"Benchmark Electronics, Inc.",BHE,Information Technology,Electronic Manufacturing Services,"Tempe, Arizona",view,863436
"Berkshire Hills Bancorp, Inc.",BHLB,Financials,Regional Banks,"Boston, Massachusetts",view,1108134
"BJ's Restaurants, Inc.",BJRI,Consumer Discretionary,Restaurants,"Huntington Beach, California",view,1013488
"The Buckle, Inc.",BKE,Consumer Discretionary,Apparel Retail,"Kearney, Nebraska",view,885245
"BankUnited, Inc.",BKU,Financials,Thrifts & Mortgage Finance,"Miami Lakes, Florida",view,1504008
"BioLife Solutions, Inc.",BLFS,Health Care,Health Care Supplies,"Bothell, Washington",view,834365
"Bloomin' Brands, Inc.",BLMN,Consumer Discretionary,Restaurants,"Tampa, Florida",view,1546417
"Badger Meter, Inc.",BMI,Information Technology,Electronic Equipment & Instruments,"Milwaukee, Wisconsin",view,9092
Bank of Hawaii,BOH,Financials,Regional Banks,"Honolulu, Hawaii",view,46195
"Boot Barn Holdings, Inc.",BOOT,Consumer Discretionary,Apparel Retail,"Irvine, California",view,1610250
Brady Corporation,BRC,Industrials,Commercial Printing,"Milwaukee, Wisconsin",view,746598
"Brookline Bancorp, Inc.",BRKL,Financials,Regional Banks,"Boston, Massachusetts",view,1049782
"BrightSphere Investment Group, Inc.",BSIG,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",view,1748824
